index,bed,bath,acre_lot,zip_code,house_size,price
12392,3,3,0.16,2885,2600,449900
12393,3,3,0.34,2809,1462,384900
12394,3,3,0.08,2910,1600,305000
12395,3,3,0.2,2906,2375,1595000
12396,3,3,0.15,2910,1320,269000
12397,3,3,,2809,2489,1050000
12398,3,3,,2921,2165,429900
12399,3,3,0.22,2920,1650,479000
12400,3,3,0.1,2861,1752,399900
12401,3,3,,2908,1536,319900
12402,3,3,0.23,2816,1686,469900
12403,3,3,0.13,2852,1900,579000
12404,3,3,0.78,2829,3452,319900
12405,3,3,0.35,2818,2300,749900
12406,3,3,0.11,2889,1449,514900
12407,3,3,0.48,2889,2994,450000
12408,3,3,0.27,2909,1749,299900
12409,3,3,1.5,2865,1755,649900
12410,3,3,0.4,2904,2393,385000
12411,3,3,0.93,2917,5378,325000
12412,3,3,0.13,2809,7494,799900
12413,3,3,,2886,1180,369000
12414,3,3,0.07,2904,1490,219000
12415,3,3,0.48,2919,2700,650000
12416,3,3,0.79,2917,1683,499000
12417,3,3,0.11,2806,2212,719900
12418,3,3,0.2,2886,1717,429900
12419,3,3,0.1,2818,1326,749500
12420,3,3,0.76,2865,2600,740000
12421,3,3,0.33,2908,2724,470000
12422,3,3,0.07,2886,1600,429900
12423,3,3,0.11,2905,1500,235000
12424,3,3,0.1,2908,1555,409900
12425,3,3,0.18,2893,1169,369900
12426,3,3,,2864,1450,429900
12427,3,3,1,2857,1904,475000
12428,3,3,0.09,2861,1056,395000
12429,3,3,2.14,2816,1904,499900
12430,3,3,0.04,2818,2824,524900
12431,3,3,0.1,2919,1200,299999
12432,3,3,0.19,2818,1540,469000
12433,3,3,1,2818,2584,794900
12434,3,3,0.51,2921,2026,560000
12435,3,3,1.26,2806,2008,495000
12436,3,3,0.76,2806,2100,559900
12437,3,3,0.38,2888,1394,449900
12438,3,3,0.23,2809,,530000
12439,3,3,0.13,2806,1560,619000
12440,3,3,1.84,2921,3557,799444
12441,3,3,0.25,2904,1623,359900
12442,3,3,0.18,2921,1558,469999
12443,3,3,0.46,2921,1824,549900
12444,3,3,0.55,2919,2600,625000
12445,3,3,0.26,2886,1966,449900
12446,3,3,1.77,2903,2245,1325000
12447,3,3,1,2919,2268,390000
12448,3,3,1.02,2817,2058,489900
12449,3,3,1.33,2889,2214,1795000
12450,3,3,0.15,2860,1938,279900
12451,3,3,2.04,2816,1369,499900
12452,3,3,0.38,2852,2376,689999
12453,3,3,,2818,1529,475000
12454,3,3,0.17,2889,1824,451000
12455,3,3,0.11,2889,1582,479900
12456,3,3,0.19,2809,2217,569900
12457,3,3,0.14,2864,2208,449900
12458,3,3,0.07,2886,1600,399900
12459,3,3,0.07,2886,1600,399900
12460,3,3,0.11,2861,3359,200000
12461,3,3,0.17,2893,1550,309900
12462,3,3,1.16,2919,1768,469900
12463,3,3,0.24,2893,1456,375000
12464,3,3,0.08,2905,1188,335000
12465,3,3,0.08,2906,2512,869000
12466,3,3,0.23,2806,1924,599000
12467,3,3,0.13,2861,936,360000
12468,3,3,,2903,1629,689000
12469,3,3,0.33,2888,2080,539900
12470,3,3,0.11,2908,1954,314900
12471,3,3,0.55,2817,2444,599000
12472,3,3,0.11,2861,1373,350000
12473,3,3,0.07,2907,3106,425000
12474,3,3,0.67,2806,2583,749900
12475,3,3,0.11,2908,1500,379900
12476,3,3,0.1,2904,1544,359900
12477,3,3,0.24,2893,1032,389900
12478,3,3,0.17,2886,1952,479900
12479,3,3,1.01,2852,1443,525000
12480,3,3,0.09,2914,1134,329000
12481,3,3,0.19,2915,1348,319900
12482,3,3,0.35,2885,2063,565000
12483,3,3,0.11,2889,2222,499900
12484,3,3,0.42,2904,2300,629900
12485,3,3,0.49,2885,2430,509000
12486,3,3,0.88,2865,2302,589900
12487,3,3,5.81,2816,1926,649900
12488,3,3,0.69,2818,2655,675000
12489,3,3,0.13,2916,1682,599000
12490,3,3,0.53,2852,1993,550000
12491,3,3,0.07,2864,1440,379000
12492,3,3,0.14,2861,1752,424000
12493,3,3,0.09,2914,1705,349000
12494,3,3,0.28,2904,1736,399900
12495,3,3,0.07,2905,1308,330000
12496,3,3,0.21,2920,2067,590000
12497,3,3,0.29,2920,1820,574900
12498,3,3,0.5,2816,1872,399000
12499,3,3,0.46,2865,2020,529900
12500,3,3,6.29,2825,2320,649000
12501,3,3,0.08,2908,1328,350000
12502,3,3,0.29,2886,1600,535000
12503,3,3,0.77,2921,2106,550000
12504,3,3,0.31,2920,1900,569900
12505,3,3,5.54,2818,3500,1050000
12506,3,3,1.9,2886,1704,475000
12507,3,3,0.19,2920,1850,499900
12508,3,3,0.18,2886,2689,975000
12509,3,3,2.02,2827,2184,499900
12510,3,3,4.2,2825,1266,399000
12511,3,3,1.97,2816,1800,599000
12512,3,3,0.12,2915,1905,950000
12513,3,3,0.11,2910,2036,419900
12514,3,3,0.1,2914,1352,324900
12515,3,3,0.2,2889,1512,399900
12516,3,3,0.28,2904,2184,600000
